personid,gender,birthmonth,birthyear,highestgradecompleted,maritalstatus,childathome,childnotathome,wageincome,weeklyhrscomputer,weeklyhrstv,nightlyhrssleep,satverbal,satmath,gpaoverall,gpaenglish,gpamath,gpascience,highestdegree,govprovidejobs,govpricecontrols,weeksworked17
109403,Male,10,1981,11,Never-married,,,5000,10 hours or more a week,More than 40 hours a week,6,,,,,,,1. GED,,,0
109577,Male,3,1984,,,,,,,,,,,354,348,361,333,4. Bachelors,,,
109587,Male,5,1984,,,,,,,,,430,470,239,242,168,235,2. High School,,,
109715,Female,1,1982,10,Married,,,15000,10 hours or more a week,11 to 20 hours a week,7,,,,,,,0. None,,,50
109717,Male,10,1983,11,Never-married,3,0,20000,1 to 3 hours a week,3 to 10 hours a week,5,,,217,300,350,100,1. GED,1. Definitely,1. Definitely,52
109736,Male,7,1982,15,Never-married,,,12000,4 to 6 hours a week,Less than 2 hours per week,8,610,680,347,309,385,321,2. High School,,,52
110014,Female,8,1984,12,Married,2,0,32000,1 to 3 hours a week,21 to 30 hours a week,5,460,410,355,366,310,333,2. High School,,,0
110118,Female,2,1984,9,Never-married,5,0,6000,1 to 3 hours a week,3 to 10 hours a week,7,,,120,100,,160,1. GED,,,0
110388,Female,3,1984,18,Never-married,,,28000,10 hours or more a week,11 to 20 hours a week,8,,,264,230,,240,5. Masters,,,52
110906,Female,10,1984,14,Married,1,0,5000,4 to 6 hours a week,3 to 10 hours a week,6,,,305,300,280,300,3. Associates,,,38
110961,Female,10,1982,16,Married,,,124000,10 hours or more a week,3 to 10 hours a week,7,440,550,372,400,400,400,2. High School,,,45
111078,Female,8,1983,12,Divorced,2,0,30000,10 hours or more a week,Less than 2 hours per week,7,430,540,306,250,367,227,2. High School,,,52
111084,Male,9,1981,13,Widowed,2,0,90000,10 hours or more a week,Less than 2 hours per week,7,,,,,,,2. High School,,,52
111244,Male,2,1983,16,Married,2,0,58000,10 hours or more a week,3 to 10 hours a week,7,430,220,285,248,221,282,4. Bachelors,4. Definitely not,1. Definitely,52
111305,Female,12,1982,14,Divorced,2,0,38000,10 hours or more a week,31 to 40 hours a week,8,,,,,,,3. Associates,3. Probably not,1. Definitely,46
111728,Male,2,1984,16,Married,0,1,55000,10 hours or more a week,3 to 10 hours a week,6,470,510,340,349,287,287,4. Bachelors,,,52
111733,Female,2,1984,11,Never-married,2,0,,None,Less than 2 hours per week,3,,,,,,,1. GED,,,0
111866,Female,8,1983,12,Married,,,18000,10 hours or more a week,3 to 10 hours a week,6,,,,,,,2. High School,,,46
111870,Female,1,1983,16,Married,1,0,46000,1 to 3 hours a week,3 to 10 hours a week,8,,,373,404,363,338,4. Bachelors,,,50
111984,Female,2,1983,17,Married,3,0,6000,1 to 3 hours a week,3 to 10 hours a week,7,,,,,,,4. Bachelors,,,43
112034,Female,9,1984,18,Married,2,0,55000,10 hours or more a week,3 to 10 hours a week,6,480,430,307,278,319,320,4. Bachelors,,,52
112118,Female,3,1984,,,,,,,,,,,,,,,3. Associates,,,
112357,Female,3,1981,16,Married,2,0,100000,10 hours or more a week,11 to 20 hours a week,5,560,540,278,327,265,298,4. Bachelors,,,52
112389,Female,9,1980,17,Never-married,2,0,40000,7 to 9 hours a week,21 to 30 hours a week,7,,,,,,,3. Associates,2. Probably ,1. Definitely,52
112545,Female,2,1980,20,Married,2,0,48000,7 to 9 hours a week,11 to 20 hours a week,6,,,294,318,200,296,5. Masters,2. Probably ,1. Definitely,49
112603,Female,10,1984,12,Never-married,,,20000,1 to 3 hours a week,3 to 10 hours a week,6,,,,,,,2. High School,,,52
112756,Female,2,1980,16,Married,2,0,,1 to 3 hours a week,3 to 10 hours a week,7,,,403,407,410,410,4. Bachelors,,,0
112788,Male,11,1981,,Never-married,2,0,,None,3 to 10 hours a week,7,,,,,,,1. GED,,,0
113077,Female,3,1980,,,,,,,,,,,299,282,222,209,2. High School,,,
113144,Female,12,1983,11,Never-married,2,0,,1 to 3 hours a week,3 to 10 hours a week,3,,,263,190,280,,1. GED,1. Definitely,1. Definitely,8
113200,Female,6,1981,14,Never-married,1,0,20000,4 to 6 hours a week,21 to 30 hours a week,5,,,311,285,287,280,3. Associates,2. Probably ,1. Definitely,43
113366,Female,9,1980,16,Married,3,0,55000,10 hours or more a week,3 to 10 hours a week,6,,,,,,,4. Bachelors,,,52
113402,Female,12,1980,8,Divorced,3,0,7200,1 to 3 hours a week,Less than 2 hours per week,9,,,317,,,,0. None,,,52
113431,Male,2,1984,13,Married,3,0,50000,None,11 to 20 hours a week,5,,,275,272,145,320,2. High School,,,50
113486,Female,3,1983,,,,,,,,,,,374,380,400,350,4. Bachelors,,,
113492,Female,4,1984,,,,,,,,,,,,,,,0. None,,,
113642,Male,6,1984,16,Never-married,,,,None,3 to 10 hours a week,8,,,273,275,300,227,3. Associates,4. Definitely not,3. Probably not,0
113647,Female,1,1981,,,,,,,,,,,302,326,226,289,4. Bachelors,,,
113684,Male,3,1984,12,Married,1,0,47000,4 to 6 hours a week,3 to 10 hours a week,7,,,221,,185,205,2. High School,,,52
113915,Female,10,1982,,,,,,,,,,,302,263,260,285,3. Associates,,,
113958,Male,3,1981,,,,,,,,,530,420,237,238,206,178,6. PhD,,,
113964,Male,11,1980,18,Married,1,0,52000,10 hours or more a week,3 to 10 hours a week,8,,,266,300,173,287,5. Masters,,,52
114044,Male,12,1981,15,Never-married,,,60000,10 hours or more a week,11 to 20 hours a week,7,,,130,136,160,160,3. Associates,,,6
114074,Female,10,1983,17,Married,2,0,25000,10 hours or more a week,3 to 10 hours a week,7,,,176,100,100,100,3. Associates,,,52
114092,Male,8,1982,14,Married,4,0,25000,4 to 6 hours a week,3 to 10 hours a week,7,,,,,,,3. Associates,,,52
114118,Female,12,1984,16,Never-married,,,39000,10 hours or more a week,3 to 10 hours a week,6,,,,,,,4. Bachelors,,,45
114288,Male,6,1983,20,Never-married,,,25000,10 hours or more a week,21 to 30 hours a week,7,,,333,320,330,315,5. Masters,,,50
114307,Female,6,1981,18,Married,3,0,43000,4 to 6 hours a week,3 to 10 hours a week,7,440,550,360,400,350,347,4. Bachelors,,,47
114443,Male,8,1983,,,,,,,,,,,,,,,2. High School,,,
114451,Female,3,1982,15,Married,,,47000,10 hours or more a week,Less than 2 hours per week,8,,,306,300,258,310,3. Associates,2. Probably ,2. Probably ,48
114596,Male,3,1984,10,Never-married,0,1,,10 hours or more a week,11 to 20 hours a week,7,,,,,,,1. GED,,,52
114651,Male,5,1981,,,,,,,,,,,281,252,285,233,2. High School,,,
114739,Male,5,1982,16,Never-married,3,1,38000,1 to 3 hours a week,Less than 2 hours per week,8,,,,,,,1. GED,2. Probably ,2. Probably ,44
114854,Female,8,1984,,,,,,,,,,,,,,,5. Masters,,,
114932,Female,3,1980,16,Married,3,0,30400,10 hours or more a week,3 to 10 hours a week,7,,,381,375,366,380,4. Bachelors,,,52
115222,Male,5,1983,14,Married,,,45000,10 hours or more a week,3 to 10 hours a week,8,,,,,,,1. GED,2. Probably ,2. Probably ,50
115294,Male,8,1983,12,Never-married,0,1,,None,3 to 10 hours a week,8,,,,,,,2. High School,,,13
115405,Female,6,1983,20,Never-married,,,50000,10 hours or more a week,3 to 10 hours a week,7,,,351,350,328,333,5. Masters,,,52
115422,Female,10,1981,14,Never-married,1,0,23000,10 hours or more a week,3 to 10 hours a week,6,400,390,271,269,200,280,2. High School,,2. Probably ,0
115498,Male,6,1982,17,Never-married,,,25000,10 hours or more a week,Less than 2 hours per week,8,,,,,,,4. Bachelors,,,40
115648,Male,12,1984,18,Married,,,55000,7 to 9 hours a week,Less than 2 hours per week,8,,,334,265,250,343,5. Masters,3. Probably not,2. Probably ,37
115699,Male,1,1980,95,Married,2,1,15000,4 to 6 hours a week,3 to 10 hours a week,3,,,205,190,160,160,2. High School,,,38
115744,Male,1,1984,14,Never-married,,,100000,10 hours or more a week,3 to 10 hours a week,7,,,275,,267,275,3. Associates,,,52
115789,Male,8,1981,14,Married,3,0,96000,10 hours or more a week,3 to 10 hours a week,8,,,179,160,190,167,2. High School,,,52
115819,Male,2,1982,15,Married,3,0,60000,10 hours or more a week,11 to 20 hours a week,7,,,,,,,2. High School,4. Definitely not,4. Definitely not,51
116004,Male,8,1981,11,Married,2,0,49000,1 to 3 hours a week,3 to 10 hours a week,7,,,190,100,100,,1. GED,,,44
116045,Female,4,1982,18,Never-married,1,0,40000,10 hours or more a week,3 to 10 hours a week,7,,,283,270,270,220,4. Bachelors,,,50
116150,Male,11,1983,,,,,,,,,,,,,,,4. Bachelors,4. Definitely not,1. Definitely,
116337,Male,1,1982,,,,,,,,,,,,,,,2. High School,,,
116394,Female,5,1983,14,Married,4,0,35000,10 hours or more a week,21 to 30 hours a week,12,,,235,190,167,190,2. High School,,,42
116407,Female,7,1984,16,Never-married,,,20000,10 hours or more a week,3 to 10 hours a week,8,,,334,360,320,280,4. Bachelors,,,49
116430,Female,11,1984,16,Married,4,0,45000,10 hours or more a week,3 to 10 hours a week,6,,,,,,,3. Associates,,,52
116585,Female,4,1983,,,,,,,,,390,430,320,300,320,293,2. High School,,,
116642,Male,4,1982,14,Divorced,2,0,30000,4 to 6 hours a week,3 to 10 hours a week,6,390,430,357,322,375,350,2. High School,,,52
116654,Male,9,1983,12,Never-married,2,0,60000,4 to 6 hours a week,3 to 10 hours a week,8,,,,,,,2. High School,,,52
116867,Male,5,1983,,,,,,,,,,,229,216,122,193,2. High School,1. Definitely,1. Definitely,
116910,Male,10,1981,13,Married,,,55000,10 hours or more a week,3 to 10 hours a week,7,,,,,,,1. GED,,,52
116961,Female,6,1984,,,,,,,,,,,,,,,2. High School,,,
117040,Female,9,1981,12,Married,3,0,48,10 hours or more a week,3 to 10 hours a week,5,,,,,,,1. GED,2. Probably ,2. Probably ,50
117329,Female,10,1981,16,Married,,,24164,10 hours or more a week,3 to 10 hours a week,6,490,400,273,237,177,328,2. High School,,,43
117367,Male,11,1981,16,Married,3,0,130000,10 hours or more a week,3 to 10 hours a week,7,,,232,221,142,180,3. Associates,,,51
117391,Male,10,1981,16,Married,1,0,30000,10 hours or more a week,3 to 10 hours a week,6,560,490,309,315,305,270,4. Bachelors,,,51
117452,Male,12,1982,16,Married,2,0,73000,10 hours or more a week,3 to 10 hours a week,7,530,590,309,310,273,307,4. Bachelors,,,52
117483,Male,2,1984,12,Married,3,0,96000,10 hours or more a week,3 to 10 hours a week,6,,,,,,,2. High School,,2. Probably ,52
117558,Male,2,1983,12,Married,2,0,90000,7 to 9 hours a week,Less than 2 hours per week,8,,,261,206,172,220,2. High School,,,52
117612,Male,5,1984,12,Never-married,0,1,,None,More than 40 hours a week,10,,,255,160,209,280,2. High School,,,0
117690,Female,6,1983,16,Married,2,0,10000,4 to 6 hours a week,3 to 10 hours a week,7,550,530,354,320,326,311,4. Bachelors,,,0
117727,Female,6,1983,11,Married,3,0,25000,7 to 9 hours a week,3 to 10 hours a week,8,,,320,326,310,290,1. GED,,,45
117838,Female,6,1981,16,Never-married,,,60000,10 hours or more a week,3 to 10 hours a week,7,,,248,251,256,225,3. Associates,,,52
117895,Male,1,1984,,,,,,,,,,,,,,,1. GED,,,
118169,Female,6,1984,14,Married,1,0,45000,10 hours or more a week,3 to 10 hours a week,8,,,,,,,2. High School,,,52
118202,Male,1,1983,14,Married,2,0,49500,7 to 9 hours a week,3 to 10 hours a week,6,,,271,234,223,283,3. Associates,4. Definitely not,1. Definitely,52
118224,Female,10,1983,13,Never-married,1,0,50000,None,11 to 20 hours a week,7,,,,,,,1. GED,,,42
118231,Male,9,1983,14,Married,0,0,100000,10 hours or more a week,3 to 10 hours a week,6,640,470,343,334,290,290,2. High School,,,25
118235,Male,2,1980,,,,,,,,,,,,,,,2. High School,,,
118252,Male,12,1984,9,Never-married,1,0,,10 hours or more a week,More than 40 hours a week,8,,,280,280,280,280,1. GED,,,0
118399,Male,12,1983,14,Never-married,1,0,80000,Less than 1 hour a week,3 to 10 hours a week,5,,,293,304,239,207,2. High School,,,52
118588,Female,11,1984,14,Married,,,12000,10 hours or more a week,11 to 20 hours a week,8,,,283,230,280,280,2. High School,4. Definitely not,4. Definitely not,43
118704,Female,7,1984,16,Married,1,0,25000,10 hours or more a week,3 to 10 hours a week,7,,,347,307,367,293,4. Bachelors,,,42
118741,Female,4,1981,18,Never-married,,,32000,10 hours or more a week,3 to 10 hours a week,7,750,660,398,400,400,388,5. Masters,,,45
118749,Female,5,1984,13,Divorced,3,0,30000,10 hours or more a week,3 to 10 hours a week,7,,,238,232,197,190,7. Professional,2. Probably ,1. Definitely,50
118859,Male,2,1984,,,,,,,,,620,580,383,400,400,375,2. High School,,,
119081,Male,2,1981,17,Never-married,,,,10 hours or more a week,3 to 10 hours a week,8,,,342,329,338,315,4. Bachelors,,,47
119553,Male,11,1983,,,,,,,,,,,,,,,2. High School,,,
119675,Male,10,1984,16,Never-married,,,,10 hours or more a week,3 to 10 hours a week,7,,,,,,,4. Bachelors,1. Definitely,1. Definitely,52
119754,Female,6,1980,11,Divorced,4,2,,None,11 to 20 hours a week,4,,,,,,,0. None,,,4
119771,Female,2,1984,10,Never-married,2,0,1600,None,More than 40 hours a week,5,,,,,,,1. GED,,,39
119784,Female,10,1983,17,Married,2,0,110000,10 hours or more a week,3 to 10 hours a week,6,710,710,405,406,419,400,4. Bachelors,,,52
119852,Male,5,1984,19,Married,2,0,78500,10 hours or more a week,3 to 10 hours a week,7,550,570,231,227,232,268,5. Masters,,,52
119876,Male,12,1984,15,Never-married,,,10000,1 to 3 hours a week,3 to 10 hours a week,8,,,,,,,2. High School,,,51
120143,Female,5,1981,15,Married,3,0,,10 hours or more a week,Less than 2 hours per week,5,,,,,,,3. Associates,,,0
120169,Female,9,1980,10,Never-married,3,0,1800,None,3 to 10 hours a week,7,,,,,,,0. None,,,39
120228,Female,1,1982,9,Never-married,1,0,,4 to 6 hours a week,3 to 10 hours a week,6,,,,,,,,1. Definitely,1. Definitely,49
120390,Female,8,1981,19,Never-married,1,0,55000,10 hours or more a week,3 to 10 hours a week,6,,,343,310,310,347,5. Masters,2. Probably ,2. Probably ,48
120400,Male,11,1983,14,Never-married,,,45000,10 hours or more a week,3 to 10 hours a week,6,,,358,346,308,346,2. High School,,,49
120727,Male,6,1981,10,Never-married,0,2,47000,4 to 6 hours a week,Less than 2 hours per week,5,,,,,,,1. GED,,,52
120781,Female,9,1984,20,Married,2,0,17000,10 hours or more a week,11 to 20 hours a week,6,,,,,,,4. Bachelors,,,44
120851,Female,5,1981,12,Never-married,,,,4 to 6 hours a week,3 to 10 hours a week,6,,,,,,,2. High School,,,39
120928,Male,11,1984,13,Never-married,,,14000,10 hours or more a week,21 to 30 hours a week,5,,,289,303,287,285,2. High School,,,17
120969,Female,6,1981,,,,,,,,,,,273,260,400,,2. High School,2. Probably ,3. Probably not,
121015,Female,11,1984,16,Married,2,0,35000,10 hours or more a week,Less than 2 hours per week,5,600,680,354,361,330,367,4. Bachelors,,,52
121097,Male,4,1981,12,Never-married,3,0,30000,1 to 3 hours a week,3 to 10 hours a week,6,,,260,284,185,311,2. High School,,,50
121144,Female,8,1983,,,,,,,,,,,,,,,1. GED,3. Probably not,,
121244,Female,6,1980,14,Married,3,0,61000,10 hours or more a week,Less than 2 hours per week,7,,,298,300,284,288,3. Associates,3. Probably not,1. Definitely,52
